id,level,domain,score,naturalness,utility,translatability,suspected_dup_of,llm_cut,reason,en_text
22335,A1,civic,2.600,2,2,5,,1,Awkward identity question; not idiomatic English.,Who is your sister?
511,A1,civic,2.700,4,2,4,512,1,Culture-bound routine; less broadly useful.,I pray before lunch.
24617,A1,civic,2.800,3,2,4,,1,Too vague without complement; weak standalone.,She is a member.
21514,A1,civic,2.800,3,2,4,,1,Abstract and tied to limited contexts.,Is this positive?
24622,A1,civic,2.800,3,2,4,,1,Promotional phrasing; unnatural standalone.,Join as a member.
25306,A1,civic,2.800,3,2,4,,1,Natural enough but low-utility game-like prompt,Can you guess it?
26420,A1,civic,2.800,3,2,4,,1,Dated/job-title wording; low utility,I see the policeman.
14680,A1,civic,2.800,3,2,4,,1,'At the centre' is region-specific and context-dependent,Let’s meet at the centre.
205,A1,civic,2.800,3,2,4,,1,'Official manager' sounds odd/stilted,She is the official manager.
26158,A1,civic,2.900,4,2,5,26609,1,Natural but weaker duplicate of 'Look at that!'.,Look there.
26417,A1,civic,2.900,4,2,5,25905,1,Near-duplicate of police officer sentence; less inclusive term,The policeman is here.
24618,A1,civic,3.000,3,2,5,,1,Too vague without saying member of what,I am a member.
21771,A1,civic,3.000,3,2,5,,1,Vague and not very reusable in real life.,We have an event.
22580,A1,civic,3.000,3,2,5,,1,Moralizing/child-directed phrasing; low reuse.,Do not tell a lie.
26343,A1,civic,3.000,4,1,5,,1,Toy-counting sentence feels like drill padding.,She has eight dolls.
26344,A1,civic,3.000,3,2,5,,1,Counting variant feels like padding,That's eight apples!
26630,A1,civic,3.000,3,2,5,,1,"Possible, but uncommon as a suggestion phrase.",Let's visit the bank.
21742,A1,civic,3.000,3,2,5,,1,Odd standalone sentence; limited real-world reuse.,She wrote her address.
11972,A1,civic,3.000,3,2,5,,1,Awkward phrasing; not a broadly reusable everyday warning,Don’t throw the bottle on the ground!
24621,A1,civic,3.200,4,2,4,,1,Context-specific and not broadly reusable.,We need a member.
22339,A1,civic,3.200,4,2,4,,1,Specific activity with limited reuse.,We march in parades.
23933,A1,civic,3.200,4,2,4,,1,Meaning is vague; limited reuse without context,Don't let it happen.
26702,A1,civic,3.200,4,2,4,,1,English usually prefers 'What country are you from?',Which country are you from?
25447,A1,civic,3.300,5,2,5,23839,1,"Travel/location use exists, but narrower than stronger variants",Is this a village?
23728,A1,civic,3.300,4,3,5,23732,1,Natural but generic and near-duplicate topic pattern.,This topic is easy.
24052,A1,civic,3.300,4,3,5,21679,0,Simple food possession phrase; acceptable utility.,We have rice.
24655,A1,civic,3.300,4,3,5,26136,0,Natural in many contexts; clear meaning.,That is false.
26301,A1,civic,3.400,5,1,5,,1,Natural but very low conversational utility,Water flows below the bridge.
26862,A1,civic,3.400,4,2,5,,1,Possible but uncommon need statement.,We need a rule.
26078,A1,civic,3.400,4,2,5,,1,Possible but less common than 'welcome our friends/guests'.,We welcome friends.
22526,A1,civic,3.400,4,2,5,,1,Grammatically fine but low conversational reuse,Please help poor people.
25305,A1,civic,3.400,4,2,5,,1,Natural but not very reusable as a standalone line.,I'm guessing the answer.
22304,A1,civic,3.400,4,2,5,,1,Natural but low-use month preference.,May is my favorite month.
26416,A1,civic,3.400,4,3,3,,0,"Usable, though police term can vary by culture",A policeman is nearby.
26703,A1,civic,3.600,5,2,4,,1,Natural but country-fact sentence has low reuse.,France is a country.
3876,A1,civic,3.600,5,2,4,,1,Specific policy scenario; low general reuse.,They want to ban skateboarding in the park.
23117,A1,civic,3.600,4,3,4,,0,"Common, simple movement instruction",Go downstairs.
24990,A1,civic,3.600,4,3,4,,0,"Natural enough, though negated question is marked.",Is he not coming?
22793,A1,civic,3.600,4,3,4,,0,Plausible general statement with decent reuse,A million people live here.
26418,A1,civic,3.700,5,3,5,25910,1,Less useful than asking for police station; near-domain duplicate,Where is the policeman?
24851,A1,civic,3.700,5,3,5,24854,1,Natural but near-duplicate of another 'win together' game idea.,We want to win the game.
25443,A1,civic,3.700,5,3,5,22134,1,Good phrase but near-duplicate of more general city version.,We live in a small village.
23076,A1,civic,3.700,5,3,5,26319,0,"Natural, though not very common in daily use.",Are you an adult?
23847,A1,civic,3.700,5,3,5,23665,0,Natural exercise statement.,I ran one kilometre.
22456,A1,civic,3.700,5,3,5,24666,0,Natural and easy to reuse in sports contexts.,This match is exciting.
23294,A1,civic,3.800,5,2,5,,1,Natural but low real-life reuse outside narrow contexts,Where is the girl?
24039,A1,everyday,0.700,1,1,2,21814,1,Ungrammatical/unnatural phrasing,Is this ever good?
23343,A1,everyday,0.700,1,1,2,22137,1,Unnatural sentence-final 'however',"I like it, however."
22510,A1,everyday,1.000,1,1,1,,1,"Single function word, not a usable phrase.",to
26472,A1,everyday,1.000,1,1,1,,1,Meaning is unclear and unnatural.,The opposite is cold.
23397,A1,everyday,1.100,1,1,4,22846,1,Ungrammatical; near-duplicate of 'Play tennis now',Play sport now.
25103,A1,everyday,1.100,1,1,4,25475,1,Unnatural phrasing; not something natives say,What happened before now?
25304,A1,everyday,1.100,1,1,4,23628,1,Ungrammatical/unnatural phrasing,What day is it this week?
26227,A1,everyday,1.200,1,1,2,,1,Unnatural; missing article or context for direction preference,I like west.
24416,A1,everyday,1.200,1,1,2,,1,Fragment with unclear reference; poor standalone value.,As big as that.
23265,A1,everyday,1.200,1,1,2,,1,Unnatural fragment; meaning unclear,No reason today.
26232,A1,everyday,1.200,1,1,2,,1,Unnatural phrasing; native speakers say 'I like the price.',I like that cost.
26314,A1,everyday,1.200,1,1,2,,1,Unnatural/unclear expression in modern English.,I like Sunday best.
25334,A1,everyday,1.200,1,1,2,,1,Malformed version of idiom; poor translation fit.,Time flies in minutes.
23610,A1,everyday,1.200,1,1,2,,1,Unnatural phrasing; unclear meaning,We are going around now.
24364,A1,everyday,1.300,1,1,5,25517,1,Unnatural English; speakers do not say this,Become quiet now.
22158,A1,everyday,1.300,1,1,5,24576,1,Unnatural; English would use 'Thank you' or 'I'm thanking you' rarely.,I'm thanking you now.
24719,A1,everyday,1.300,2,1,3,23564,1,"Bare lemma, not a usable phrase.",sit
22525,A1,everyday,1.300,2,1,3,22788,1,Melodramatic and uncommon phrasing,"Oh no, poor me!"
22341,A1,everyday,1.300,2,1,3,26503,1,Awkward phrase; highly specific and unnatural,I like March flowers.
24297,A1,everyday,1.300,2,1,3,26513,1,Tourist-spot wording is awkward and culture-bound.,Visit the tourist spot.
24722,A1,everyday,1.400,1,1,3,,1,Unnatural question; usually sit down/be sitting,Do you sit?
22574,A1,everyday,1.400,1,1,3,,1,Unnatural; native speakers say 'Is this home?',Is this home?
25462,A1,everyday,1.400,1,1,3,,1,"Fragment, not a usable sentence",My right hand.
23783,A1,everyday,1.400,1,1,3,,1,Ungrammatical/unnatural meaning for appearance,Do you look good?
25364,A1,everyday,1.400,1,1,3,,1,Ungrammatical/unnatural English.,This is most fun.
23936,A1,everyday,1.400,1,1,3,,1,Unnatural and semantically vague.,Is that something?
24404,A1,everyday,1.400,1,1,3,,1,Unnatural English; likely intended as calendar exercise,What year is next?
23882,A1,everyday,1.400,1,1,3,,1,Unnatural English; would need rephrasing.,Is this yours only?
24127,A1,everyday,1.400,1,1,3,,1,'What is that point?' is unnatural without specific context,What is that point?
24718,A1,everyday,1.400,1,1,3,,1,Ungrammatical/unnatural phrasing,What is each color?
21711,A1,everyday,1.400,1,1,3,,1,Unnatural; speakers would ask 'Can I quit?' not this,Can I lose the game?
26751,A1,everyday,1.400,1,1,3,,1,Ungrammatical/unnatural in English,Did you sleep before?
22797,A1,everyday,1.400,1,1,3,,1,Unnatural collocation; say play music/practice an instrument,Do you practice music?
24220,A1,everyday,1.400,1,1,3,,1,Semantically bizarre; not a useful English sentence.,I have a birthday month.
22979,A1,everyday,1.400,1,1,3,,1,Unnatural phrasing; unclear meaning,Count to the third number.
22946,A1,everyday,1.500,2,1,4,23420,1,Ungrammatical/odd; ownership better covered by 'This is mine'.,This is my own.
24926,A1,everyday,1.500,2,1,4,22586,1,English prefers 'don't be bored' less; awkward directive,Don't be bored.
21547,A1,everyday,1.500,1,2,4,22331,1,Unnatural singular; usually 'put on your shoes'.,Put on the shoe.
23162,A1,everyday,1.500,2,1,4,22019,1,Unnatural destination phrasing; weak real-life reuse,Go to the north.
26149,A1,everyday,1.500,2,1,4,24034,1,Unnatural standalone month question; pedagogical padding,When is January?
22204,A1,everyday,1.500,1,2,4,22881,1,Unnatural singular clothing item.,Put on your boot.
24067,A1,everyday,1.500,2,1,4,26149,1,Unnatural standalone month question; pedagogical padding,When is December?
26017,A1,everyday,1.500,2,1,4,23872,1,Odd phrasing and trivial hat-color/style variant.,Wear the cool hat.
25310,A1,everyday,1.500,2,1,4,23506,1,Unnatural collocation; unclear what 'cream' refers to,Is this cream cold?
22809,A1,everyday,1.500,2,1,4,22804,1,Awkward generic fact; little reuse.,August has holidays.
24036,A1,everyday,1.500,1,2,4,25455,1,Ungrammatical in standard English; should be 'in June'.,My birthday is June.
23474,A1,everyday,1.500,2,1,4,23347,1,Odd color phrasing; too specific and unnatural,Is that lemon yellow?
23139,A1,everyday,1.500,2,1,4,24245,1,Awkward and low-utility in isolation.,I like this conversation.
23865,A1,everyday,1.500,2,1,4,21896,1,Odd phrasing for preference; weak pedagogical value.,I like apples or bananas.
24763,A1,everyday,1.600,1,1,4,,1,"Single isolated word, not a usable phrase.",form
26810,A1,everyday,1.600,2,1,2,,1,Ambiguous phrasal verb with missing context.,I ran out.
26027,A1,everyday,1.600,2,1,2,,1,Ambiguous with NYC idiom; poor utility and translation.,Eat the big apple.
24877,A1,everyday,1.600,2,1,2,,1,Named entity and odd phrasing; not generalizable.,Tom and Jerry play.
24347,A1,everyday,1.600,2,1,2,,1,Awkward and semantically unclear.,I like the opposite.
26673,A1,everyday,1.600,1,1,4,,1,Unnatural English; people don't ask this.,Where is your vacation?
26843,A1,everyday,1.600,1,1,4,,1,Unnatural phrase; 'daily activity' is vague/pedagogical.,We have a daily activity.
14706,A1,everyday,1.600,1,1,4,,1,Absurd and unusable for learners despite clear syntax.,The frog turned left at the big rock.
22094,A1,everyday,1.700,2,2,3,26746,1,Awkward wording; native speakers say you go first,Go first now.
24076,A1,everyday,1.700,2,2,3,23164,1,Missing article/context; awkward generalization,North is cold.
24455,A1,everyday,1.700,2,2,3,23033,1,Ambiguous/incomplete; likely templated variant.,I left my bag.
23033,A1,everyday,1.700,2,2,3,24455,1,Ambiguous/incomplete; likely templated variant.,I left my book.
22154,A1,everyday,1.700,2,2,3,14182,1,Incomplete object makes it awkward and low-value,Can you turn it?
22503,A1,everyday,1.700,2,1,5,22807,1,Awkward month-check variant; templated padding,Is it April now?
22697,A1,everyday,1.700,2,1,5,25904,1,Unnatural and low-use day sentiment statement.,Tomorrow is fun.
23136,A1,everyday,1.700,2,2,3,26735,1,Awkward; 'What type is it?' is more natural,What kind is it?
22471,A1,everyday,1.700,2,1,5,26219,1,Odd in isolation; sounds like drill-room filler.,I like to repeat.
23570,A1,everyday,1.700,2,1,5,23644,1,Artificial counting drill sentence,Is that one book?
23529,A1,everyday,1.700,2,1,5,23921,1,Obvious descriptive question with low utility.,Is the ocean blue?
23644,A1,everyday,1.700,2,1,5,23570,1,Artificial counting drill sentence,Is that one apple?
24069,A1,everyday,1.700,2,1,5,24391,1,Unnatural fragment; month-only variant feels padded.,Visit in December.
24652,A1,everyday,1.700,2,1,5,22807,1,Awkward month-check variant; templated padding,Is it October now?
25227,A1,everyday,1.700,2,1,5,22807,1,Awkward month-check variant; templated padding,Is it February now?
26778,A1,everyday,1.700,2,1,5,23221,1,Awkward; too metalinguistic and low-use,What is the phrase?
23761,A1,everyday,1.700,2,1,5,24992,1,Unnatural standalone; message needs context,What is the message?
24501,A1,everyday,1.700,2,1,5,24507,1,Templated exclamative; trivial variant,What a warm sweater!
25918,A1,everyday,1.700,2,2,3,25514,1,Natural food sounds odd; wording is not idiomatic,I like natural food.
26201,A1,everyday,1.700,2,2,3,22160,1,Stilted phrasing; 'gives thanks' is unnatural here.,She gives thanks now.
22823,A1,everyday,1.700,2,1,5,23711,1,Dated wording and redundant specification,Call me on the telephone.
22160,A1,everyday,1.700,2,2,3,26201,1,Stilted and culturally marked phrasing.,She gives thanks to everyone.
14757,A1,everyday,1.700,2,1,5,22312,1,Needlessly wordy and unnatural compared with 'table is clean',The top of the table is clean.
25085,A1,everyday,1.800,1,1,5,,1,"Single pronoun, not a usable phrase",we
25378,A1,everyday,1.800,1,1,5,,1,Bizarre standalone body-part statement,I have an arm.
23019,A1,everyday,1.800,1,1,5,,1,Unnatural placeholder wording; not real English.,Do the action now.
24717,A1,everyday,1.800,1,1,5,,1,Unnatural phrasing; 'each apple' is odd here.,We eat each apple.
22854,A1,everyday,1.800,1,1,5,,1,Unnatural and pedagogically weak.,I hear with my ear.
26840,A1,everyday,1.800,1,1,5,,1,Unnatural English; would ask about hobbies or plans instead,What is your activity?
25934,A1,everyday,1.800,1,1,5,,1,Very unnatural; not something people ask this way,What is your description?
22756,A1,everyday,1.800,1,1,5,,1,Tautological and unnatural.,Use things that are useful.
24173,A1,everyday,1.800,2,1,3,,1,"Single word, not a complete phrase.",slow
23547,A1,everyday,1.800,2,1,3,,1,Single word without context,across
26746,A1,everyday,1.800,2,1,3,,1,Unnatural elliptical instruction,Go next.
24161,A1,everyday,1.800,2,1,3,,1,"Unnatural, unclear instruction without context.",Eat this once.
25439,A1,everyday,1.800,2,1,3,,1,Awkward and vague; 'south' lacks clear referent.,South is warm.
25944,A1,everyday,1.800,2,1,3,,1,Incomplete thought; needs location or object phrase.,I keep my keys.
21815,A1,everyday,1.800,2,1,3,,1,"Fragment/exclamation, not a standard phrase.",Fun at the park!
21910,A1,everyday,1.800,2,1,3,,1,Unnatural without context; piece of what?,Is that a piece?
21912,A1,everyday,1.800,2,1,3,,1,Contextless and unnatural ownership phrase,That's my piece.
24355,A1,everyday,1.800,2,1,3,,1,Unnatural; 'the front' lacks clear object,I see the front.
26591,A1,everyday,1.800,2,1,3,,1,Awkward and semantically odd phrase,The time is now.
23703,A1,everyday,1.800,2,1,3,,1,Stilted; native speakers use go there,Go to that place.
25051,A1,everyday,1.800,2,1,3,,1,Awkward phrasing; would say 'Is that in the front?',Is that in front?
21607,A1,everyday,1.800,2,1,3,,1,Verb choice is unnatural without object/context,Don't prepare yet.
21628,A1,everyday,1.800,2,1,3,,1,Unnatural/ambiguous; date vs day confusion.,The date is today.
21630,A1,everyday,1.800,2,1,3,,1,Ambiguous 'date'; unnatural without context.,That date is good.
23130,A1,everyday,1.800,2,1,3,,1,"Awkward, unclear idiomatic meaning.",Brown is my color.
24735,A1,everyday,1.800,2,1,3,,1,Semantically odd and not useful for learners,Do you want a lot?
24020,A1,everyday,1.800,2,1,3,,1,Too vague; 'played' lacks object/context.,I played yesterday.
24686,A1,everyday,1.800,2,1,3,,1,Unnatural phrase; native speakers don't say this,Is it goodbye time?
26087,A1,everyday,1.800,2,1,3,,1,Cent-specific and unnatural in most contexts,Do you need a cent?
23551,A1,everyday,1.800,2,1,3,,1,Incomplete-sounding; 'runs across' needs an object.,The dog runs across.
23848,A1,everyday,1.800,2,1,3,,1,"Fragment, not a complete natural sentence",How many kilometres?
24613,A1,everyday,1.800,2,1,3,,1,Odd phrasing and unclear referent/context,Does it include you?
24715,A1,everyday,1.800,2,1,3,,1,Unnatural wording; unclear reference scope,Do you like each one?
24803,A1,everyday,1.800,2,1,3,,1,Unnatural phrasing; English speakers rarely say this,I feel negative today.
26294,A1,everyday,1.800,2,1,3,,1,Formal/legal flavor; poor A1 usefulness,What is your statement?
26634,A1,everyday,1.800,1,2,3,,1,Ungrammatical; should be 'wash my hands' or 'wash my hand'.,Please wash my hand now.
26086,A1,everyday,1.900,4,1,2,26433,1,Very low utility; currency-specific duplicate,I have a cent.
25081,A1,everyday,1.900,2,2,4,23395,1,Too vague standalone; near-duplicate of fuller version,Do you play?
23171,A1,everyday,1.900,2,2,4,23351,1,Usually onion in plural or as an ingredient; awkward alone,I like onion.
24356,A1,everyday,1.900,2,2,4,25050,1,Awkward incomplete phrasing; near-duplicate idea.,Stand in front.
25366,A1,everyday,1.900,2,2,4,22144,1,Unnatural standalone English; natives specify wash hands/clothes.,I need to wash.
23252,A1,everyday,1.900,3,1,4,23384,1,Templated padding; 'fat pig' adds awkward tone,I see a fat pig.
21840,A1,everyday,1.900,2,2,4,24259,1,Awkward standalone 'after'; weaker than similar item,We can eat after.
22895,A1,everyday,1.900,2,2,4,23043,1,Awkward; 'nearby' or 'close' would be better.,Is the shop near?
25046,A1,everyday,1.900,2,2,4,24736,1,Ungrammatical/unnatural determiner use.,We see few birds.
24829,A1,everyday,1.900,2,2,4,22257,1,Awkward phrasing; unnatural counting of retries.,Try it twice more.
25599,A1,everyday,1.900,2,2,4,26647,1,"Slogan-like, unnatural word order, limited reuse",Be yourself always.
25049,A1,everyday,1.900,2,2,4,25001,1,Incomplete/odd location phrasing,The cat is in front.
23125,A1,everyday,1.900,2,2,4,25045,1,Awkward quantifier variant; near-duplicate,Are there few apples?
23609,A1,everyday,1.900,2,2,4,23084,1,'Plays around' sounds off here; weak utility.,The cat plays around.
25344,A1,everyday,2.000,2,1,4,,1,Direction-only wording is unnatural and rarely useful,I walk east.
25472,A1,everyday,2.000,1,2,4,,1,Ungrammatical in general use; should be 'close your eyes'/'one eye',Close your eye.
25583,A1,everyday,2.000,2,2,2,,1,Ambiguous between person name and payment bill,Bill is coming.
26809,A1,everyday,2.000,2,2,2,,1,Ambiguous; 'out' has several meanings for a cat.,The cat is out.
21758,A1,everyday,2.000,2,1,4,,1,Odd meaning; people do not say this naturally,I eat most days.
22226,A1,everyday,2.000,2,1,4,,1,"Literary/bible-like cadence, not modern speech.",See the boy run.
24044,A1,everyday,2.000,2,1,4,,1,Unnatural; English needs object or infinitive after 'try'.,We try together.
26040,A1,everyday,2.000,2,1,4,,1,Unnatural exaggeration; few speakers say this literally.,I like all food.
21752,A1,everyday,2.000,2,1,4,,1,"Odd, contextless, and low-value vocabulary choice",I have an object.
22129,A1,everyday,2.000,2,1,4,,1,Unnatural without context; bare much sounds wrong,Do you have much?
22874,A1,everyday,2.000,2,1,4,,1,Semantically odd and unusable alone.,This is a moment.
23800,A1,everyday,2.000,2,2,2,,1,Ambiguous idiomatic reading vs literal reading,My plate is full.
24723,A1,everyday,2.000,2,1,4,,1,Word order is unnatural; 'sits now' is odd.,The dog sits now.
24903,A1,everyday,2.000,2,1,4,,1,Unnatural collocation; 'make a drawing' is better,Create a drawing.
26244,A1,everyday,2.000,2,1,4,,1,Unnatural without context; low reuse.,Look at the head.
26382,A1,everyday,2.000,2,1,4,,1,Odd standalone statement with little reuse,The book is back.
26514,A1,everyday,2.000,2,1,4,,1,Awkward and low-value exclamation,That's so famous!
21751,A1,everyday,2.000,2,1,4,,1,Object is too vague; feels templated.,The object is big.
25052,A1,everyday,2.000,2,1,4,,1,Awkward; 'look to the front/ahead' is likelier.,Look at the front!
25331,A1,everyday,2.000,2,1,4,,1,Unnatural phrasing; not useful,A minute is short.
21911,A1,everyday,2.000,2,1,4,,1,Stilted command; not something people usually say.,Eat this piece now.
23313,A1,everyday,2.000,3,1,2,,1,Ambiguous without context; poor standalone utility,I eat one each day.
23909,A1,everyday,2.000,2,1,4,,1,Vague noun makes it unnatural and weak.,Take the thing now.
24615,A1,everyday,2.000,2,1,4,,1,Unnatural wording; unclear intended meaning.,We include friends.
25309,A1,everyday,2.000,2,1,4,,1,Cream is not usually described as soft.,This cream is soft.
26016,A1,everyday,2.000,2,1,4,,1,Vague and unnatural phrasing,I like cool things.
26089,A1,everyday,2.000,2,1,4,,1,Oddly specific and unnatural in real use,That's just a cent.
22143,A1,everyday,2.000,2,1,4,,1,Odd plural meaning; not a normal preference question,Do you like showers?
22656,A1,everyday,2.000,2,1,4,,1,Awkward and too contextless to be useful.,Take the small part.
